Sistem,Titik Gangguan (%),ZL1,L1,L2,CT,PT,Zone 1,Zone2,Zone 3,Zone 4
BTT,85,11.25,42.37,10.72,600,1500,129.652,182.567,243.683,0.956
BTT,90,11.25,42.37,10.72,600,1500,137.279,193.307,258.017,1.013
BTT,95,11.25,42.37,10.72,600,1500,144.905,204.046,272.352,1.069
BTT,100,11.25,42.37,10.72,600,1500,152.532,214.785,286.686,1.125
MSN,5,22.11,49.8,21.78,60,636.36,4.153,6.326,8.953,0.111
MSN,10,22.11,49.8,21.78,60,636.36,8.305,12.652,17.906,0.221
MSN,15,22.11,49.8,21.78,60,636.36,12.458,18.978,26.86,0.332
MSN,20,22.11,49.8,21.78,60,636.36,16.611,25.304,35.813,0.442
MSN,25,22.11,49.8,21.78,60,636.36,20.763,31.63,44.766,0.553
MSN,30,22.11,49.8,21.78,60,636.36,24.916,37.956,53.719,0.663
MSN,35,22.11,49.8,21.78,60,636.36,29.069,44.281,62.673,0.774
MSN,40,22.11,49.8,21.78,60,636.36,33.221,50.607,71.626,0.884
MSN,45,22.11,49.8,21.78,60,636.36,37.374,56.933,80.579,0.995
MSN,50,22.11,49.8,21.78,60,636.36,41.527,63.259,89.532,1.106
MSN,55,22.11,49.8,21.78,60,636.36,45.679,69.585,98.486,1.216
MSN,60,22.11,49.8,21.78,60,636.36,49.832,75.911,107.439,1.327
MSN,65,22.11,49.8,21.78,60,636.36,53.985,82.237,116.392,1.437
MSN,70,22.11,49.8,21.78,60,636.36,58.137,88.563,125.345,1.548
MSN,75,22.11,49.8,21.78,60,636.36,62.29,94.889,134.299,1.658
MSN,80,22.11,49.8,21.78,60,636.36,66.443,101.215,143.252,1.769
MSN,85,22.11,49.8,21.78,60,636.36,70.595,107.541,152.205,1.879
MSN,90,22.11,49.8,21.78,60,636.36,74.748,113.867,161.158,1.99
MSN,95,22.11,49.8,21.78,60,636.36,78.901,120.193,170.111,2.1
MSN,100,22.11,49.8,21.78,60,636.36,83.053,126.519,179.065,2.211
NSK,5,8.58,21.78,44.1,160,1400,0.854,2.149,3.876,0.043
NSK,10,8.58,21.78,44.1,160,1400,1.709,4.298,7.752,0.086
NSK,15,8.58,21.78,44.1,160,1400,2.563,6.447,11.628,0.129
NSK,20,8.58,21.78,44.1,160,1400,3.417,8.596,15.504,0.172
NSK,25,8.58,21.78,44.1,160,1400,4.271,10.745,19.38,0.215
NSK,30,8.58,21.78,44.1,160,1400,5.126,12.894,23.256,0.257
NSK,35,8.58,21.78,44.1,160,1400,5.98,15.042,27.132,0.3
NSK,40,8.58,21.78,44.1,160,1400,6.834,17.191,31.008,0.343
NSK,45,8.58,21.78,44.1,160,1400,7.688,19.34,34.884,0.386
NSK,50,8.58,21.78,44.1,160,1400,8.543,21.489,38.76,0.429
NSK,55,8.58,21.78,44.1,160,1400,9.397,23.638,42.636,0.472
NSK,60,8.58,21.78,44.1,160,1400,10.251,25.787,46.512,0.515
NSK,65,8.58,21.78,44.1,160,1400,11.106,27.936,50.388,0.558
NSK,70,8.58,21.78,44.1,160,1400,11.96,30.085,54.264,0.601
NSK,75,8.58,21.78,44.1,160,1400,12.814,32.234,58.14,0.644
NSK,80,8.58,21.78,44.1,160,1400,13.668,34.383,62.016,0.686
NSK,85,8.58,21.78,44.1,160,1400,14.523,36.532,65.892,0.729
NSK,90,8.58,21.78,44.1,160,1400,15.377,38.681,69.768,0.772
NSK,95,8.58,21.78,44.1,160,1400,16.231,40.83,73.644,0.815
NSK,100,8.58,21.78,44.1,160,1400,17.085,42.978,77.52,0.858
LBB,5,8.32,20.4,35.3,320,1400,1.552,3.618,6.356,0.042
LBB,10,8.32,20.4,35.3,320,1400,3.104,7.236,12.711,0.083
LBB,15,8.32,20.4,35.3,320,1400,4.655,10.854,19.067,0.125
LBB,20,8.32,20.4,35.3,320,1400,6.207,14.472,25.422,0.166
LBB,25,8.32,20.4,35.3,320,1400,7.759,18.09,31.778,0.208
LBB,30,8.32,20.4,35.3,320,1400,9.311,21.708,38.133,0.25
LBB,35,8.32,20.4,35.3,320,1400,10.863,25.326,44.489,0.291
LBB,40,8.32,20.4,35.3,320,1400,12.414,28.944,50.844,0.333
LBB,45,8.32,20.4,35.3,320,1400,13.966,32.562,57.2,0.374
LBB,50,8.32,20.4,35.3,320,1400,15.518,36.18,63.555,0.416
LBB,55,8.32,20.4,35.3,320,1400,17.07,39.798,69.911,0.458
LBB,60,8.32,20.4,35.3,320,1400,18.622,43.416,76.266,0.499
LBB,65,8.32,20.4,35.3,320,1400,20.173,47.034,82.622,0.541
LBB,70,8.32,20.4,35.3,320,1400,21.725,50.652,88.977,0.582
LBB,75,8.32,20.4,35.3,320,1400,23.277,54.27,95.333,0.624
LBB,80,8.32,20.4,35.3,320,1400,24.829,57.888,101.688,0.666
LBB,85,8.32,20.4,35.3,320,1400,26.381,61.506,108.044,0.707
LBB,90,8.32,20.4,35.3,320,1400,27.932,65.124,114.4,0.749
LBB,95,8.32,20.4,35.3,320,1400,29.484,68.742,120.755,0.79
LBB,100,8.32,20.4,35.3,320,1400,31.036,72.36,127.111,0.832
BBL,5,11.58,27.77,20.91,200,1363.63,1.887,3.246,4.961,0.058
BBL,10,11.58,27.77,20.91,200,1363.63,3.773,6.492,9.921,0.116
BBL,15,11.58,27.77,20.91,200,1363.63,5.66,9.738,14.882,0.174
BBL,20,11.58,27.77,20.91,200,1363.63,7.546,12.984,19.843,0.232
BBL,25,11.58,27.77,20.91,200,1363.63,9.433,16.23,24.804,0.29
BBL,30,11.58,27.77,20.91,200,1363.63,11.32,19.476,29.764,0.347
BBL,35,11.58,27.77,20.91,200,1363.63,13.206,22.723,34.725,0.405
BBL,40,11.58,27.77,20.91,200,1363.63,15.093,25.969,39.686,0.463
BBL,45,11.58,27.77,20.91,200,1363.63,16.979,29.215,44.646,0.521
BBL,50,11.58,27.77,20.91,200,1363.63,18.866,32.461,49.607,0.579
BBL,55,11.58,27.77,20.91,200,1363.63,20.753,35.707,54.568,0.637
BBL,60,11.58,27.77,20.91,200,1363.63,22.639,38.953,59.529,0.695
BBL,65,11.58,27.77,20.91,200,1363.63,24.526,42.199,64.489,0.753
BBL,70,11.58,27.77,20.91,200,1363.63,26.412,45.445,69.45,0.811
BBL,75,11.58,27.77,20.91,200,1363.63,28.299,48.691,74.411,0.869
BBL,80,11.58,27.77,20.91,200,1363.63,30.185,51.937,79.371,0.926
BBL,85,11.58,27.77,20.91,200,1363.63,32.072,55.183,84.332,0.984
BBL,90,11.58,27.77,20.91,200,1363.63,33.959,58.429,89.293,1.042
BBL,95,11.58,27.77,20.91,200,1363.63,35.845,61.676,94.253,1.1
BBL,100,11.58,27.77,20.91,200,1363.63,37.732,64.922,99.214,1.158
TGK,5,2.89,13.76,23.94,630,1363.63,0.735,1.718,3.02,0.014
TGK,10,2.89,13.76,23.94,630,1363.63,1.47,3.435,6.04,0.029
TGK,15,2.89,13.76,23.94,630,1363.63,2.205,5.153,9.061,0.043
TGK,20,2.89,13.76,23.94,630,1363.63,2.94,6.871,12.081,0.058
TGK,25,2.89,13.76,23.94,630,1363.63,3.674,8.589,15.101,0.072
